Session ID,TR or TD,Time Slot,Date,Day,Month,Title,,Location,,Moderator,Type,,Description,,Speakers,Speakers,Speakers,Speakers,Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,23,9,Wednesday,October,Exhibit Hall Networking Break,,South Hall Las Vegas Convention Center,,,Grid-Info,,Registration open for exhibit hall passes only.,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1540585196,brett_tabke,,,,,,;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1435590448-;1438277573-gena_tabery;1438277703-gena_tabery;1438277848-gena_tabery;1444759783-;1498567321-brett_tabke;1540585196-brett_tabke;,pubcon90
110,0,1,8,Tuesday,October,Registration Open 7:30a - 5:00p,,South Hall Las Vegas Convention Center,,,Grid-Info,,"Registration open for Gold, Platinum, and Rock Star level passes.",,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1540583704,brett_tabke,,,,,,;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1435590434-;1438197812-gena_tabery;1441213353-;1441213760-gena_tabery;1444759774-;1540581299-brett_tabke;1540581304-brett_tabke;1540583704-brett_tabke;,pubcon90
115,0,17,8,Tuesday,October,Exhibit Hall Open 10:00a - 3:30p,,South Hall Las Vegas Convention Center,,,Grid-Info,,Exposition Hall open to all conference attendees.,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1540581350,brett_tabke,,,,,,;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1435590424-;1438277741-gena_tabery;1444759777-;1540581344-brett_tabke;1540581350-brett_tabke;,pubcon90
118,0,17,9,Wednesday,October,Exhibit Hall Open 10:00a - 3:30p,,South Hall Las Vegas Convention Center,,,Grid-Info,,Exposition Hall open to all conference attendees.,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1540581377,brett_tabke,,,,,,;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1435590444-;1438277624-gena_tabery;1444759783-;1540581377-brett_tabke;,pubcon90
120,1,0,8,Tuesday,October,Main Stage,,Track A,,Joe Laratro,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
121,1,0,8,Tuesday,October,International SEO and Optimization,,Track E,,Michael Bonfils,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
123,1,0,10,Thursday,October,Answer Box - Position Zero,,Track E,,Dave Davies,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
125,1,0,9,Wednesday,October,Social Advertising,,Track F,,Rebecca Murtagh,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
127,1,0,10,Thursday,October,Organic SEO,,Track C,,Simon Heseltine,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
131,1,0,10,Thursday,October,Main Stage,,Track A,,Joe Laratro,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
136,1,27,10,Thursday,October,Increasing Your Amazon Book Sales,,Salon F,,Trish Carey,default,,"Amazon is a great place to sell books, but most authors don't realize that Amazon has an internal sales machine that will actually help you market your book, for free, if you trigger it.<p>It is called their internal algorithm, and it's not that dissimilar from ranking on Google. Once Amazon's algorithm kicks in, you could see a boatload of free promotion come your way from Amazon.<br><li> Optimize your Amazon page: what you must do to start showing up in more searches<br><li> Understand categories/themes and how to rank consistently #1 in your category. <br><li> Kindle Unlimited: How some authors are making a fortune here and how you can, too.<br><li>How to quadruple the reviews you get on Amazon.<br><li>Why having a free book will help you sell more.<br>",,Penny Sansevieri,,,,,1,1,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562875238,brett_tabke,,1,,,,1;1;1;1;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1457109491-brett_tabke;1457109497-brett_tabke;1461005796-gena_tabery;1462882963-brett_tabke;1462882974-brett_tabke;1465477623-brett_tabke;1465477673-brett_tabke;1465477701-brett_tabke;1466016903-gena_tabery;1473183520-gena_tabery;1473183581-gena_tabery;1475246681-brett_tabke;1549298032-brett_tabke;1558012342-seoaware;1562607337-brett_tabke;1562607339-brett_tabke;1562692293-gena_tabery;1562692308-gena_tabery;1562692323-gena_tabery;1562769270-gena_tabery;1562769286-gena_tabery;1562875238-brett_tabke;,pubcon90
138,1,35,10,Thursday,October,Local Search 2019,,Salon D,,Dixon Jones,default,,"Google My Business is your new home page... forget talking about the same old local SEO content and link building tactics. Find out what has changed with GMB in the last year, concentrating on powerful new features that were recently added (that most people still don't know about).<p>Learn how to optimize each element, how to use the new features to make the best first impression with potential customers AND how to gain more visibility in local searches. <p>Leave with a detailed playbook for Google My Business and a better understanding for Local SEO best practices.",,Greg Gifford,Damon Gochneaur,,,,1,1,1,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562875167,brett_tabke,,2,,,,1;;1;1;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1548873274-brett_tabke;1548873381-brett_tabke;1549899575-brett_tabke;1549899786-brett_tabke;1558035831-seoaware;1559140780-brett_tabke;1562016448-brett_tabke;1562692429-gena_tabery;1562793344-brett_tabke;1562875167-brett_tabke;,pubcon90
145,1,38,10,Thursday,October,Build a Full Digital Program for a Business Today,,Salon B,,Julie Ewald,extra2,,"Our industry has changed dramatically over the last decade. What was advanced is now considered basic. Look at a comprehensive view of what it takes to build a full digital program for a business today, how the pieces interconnect and how changing consumer and search engines focus means the singular approach to marketing is dead. <p> Learn how to become a hero in your company and how you can win more customers with a better approach and understanding of consumer needs.<p>",,Duane Forrester,,,,,1,1,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562875079,brett_tabke,,1,,,,1;;1;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1548875727-brett_tabke;1548875734-brett_tabke;1549897646-brett_tabke;1553006794-brett_tabke;1558038463-seoaware;1562607026-brett_tabke;1562692680-gena_tabery;1562769383-gena_tabery;1562875079-brett_tabke;,pubcon90
171,1,27,10,Thursday,October,What's New in Local in 2019,,Salon D,,Greg Gifford,default,,"There are three major steps to achieving success in Local SEO: collecting data, analyzing ranking factors, and creating your plan of attack to compete. <p>Get a tactical overview of the process - step-by-step - and learn how to use data visualization tools like Power BI to make decisions about where to invest and prioritize time in local SEO and SEM. <p>Learn ways to get results with local SEO based off of client case-studies, with real-life strategies that work.<p>Leave with a roadmap to unpack the local search landscape and create your own data-driven strategy to win in SERPs.",,Joy Hawkins,Cori Graft,,,,1,1,1,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562875174,brett_tabke,,2,,,,1;;1;1;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1551108762-brett_tabke;1551108774-brett_tabke;1551533074-brett_tabke;1551533080-brett_tabke;1552316888-brett_tabke;1558012005-seoaware;1562075446-brett_tabke;1562081672-brett_tabke;1562692191-gena_tabery;1562769199-gena_tabery;1562793341-brett_tabke;1562875174-brett_tabke;,pubcon90
194,0,4,8,Tuesday,October,Continental Breakfast,,South Hall Lunch Room Area,,,Grid-Info,,Coffee - rolls - bagels - open to all Gold and Platinum badge holders.,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1457036017,brett_tabke,,,,,,;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
199,1,36,8,Tuesday,October,E-A-T,,Salon B,,Casey Markee,default,,"We all know that the Google algorithm updates continually, and our speakers will break down what you need to know regarding E-A-T, what Google is asking for, and any recent changes you should be aware of. <p>Our experts will offer insights based on years of experience and will show you how E-A-T currently plays into Google's algorithm, and how that impacts websites they have maintained. <p>Attendees will learn practical tips they can use to enhance their own E-A-T compliance for both small and large websites and brands.",,Lily Ray,Marie Haynes,,,,1,1,1,,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562874122,brett_tabke,,2,,,,1;;1;1;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1551108392-brett_tabke;1552316849-brett_tabke;1557873980-seoaware;1562016586-brett_tabke;1562077530-brett_tabke;1562688348-gena_tabery;1562793609-brett_tabke;1562874122-brett_tabke;,pubcon90
211,1,22,8,Tuesday,October,Creative Ad Tips and Tricks,,Salon F,,Steve Hammer,default,,"This session is for the Paid Search and/or Social Manager who is struggling to get more out of their ads. Attendees will gain tactics they can use, and gain insights by seeing:<br><li>Examples of specific ad creatives that were missing just one or two little things. <br><li>	What the under-performing numbers were.<br><li>What ""little things"" changed. <br><li>The seven classic principles of ad copy and creative that apply in today's digital advertising world (in fact, no ad can be successful without having at least one of them). <br><li>Specific examples of exactly apply in the various formats (Paid Search, Display, remarketing, video ads, etc.).<br><li>	How the competitive landscape plays a (VERY) critical role in the copy and WHAT you do if:<br><li>	Your competitor is the top dog.<br><li>You're new to a competitive market.<br><li>	You are the top dog and want to stay there.<br><li>	You are brand new in a brand new marke.t<br><li>A few examples of ineffective ad copy that is NOT following one of these seven classic principles of effective ad creative. <br>Also: <br><li>A brief walkthrough of HOW to create an ad utilizing each of the seven principles presented.<br>	<li>How all of this works in the age of machine learning and automated bidding.",,Brooke Osmundson,William Leake,Adam Proehl,,,1,1,1,1,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562874067,brett_tabke,,3,,,,1;;1;1;1;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1549899409-brett_tabke;1557871968-seoaware;1561994483-brett_tabke;1562687093-gena_tabery;1562687162-gena_tabery;1562687229-gena_tabery;1562687285-gena_tabery;1562687309-gena_tabery;1562687499-gena_tabery;1562687590-gena_tabery;1562687639-gena_tabery;1562687668-gena_tabery;1562688981-gena_tabery;1562770190-gena_tabery;1562783805-brett_tabke;1562793569-brett_tabke;1562797959-brett_tabke;1562797999-brett_tabke;1562874067-brett_tabke;,pubcon90
215,1,50,8,Tuesday,October,Advanced SEO Site Auditing,,Salon B,,Casie Gillette,default,,"Learn how to perform an SEO audit from top to bottom. Learn the essential components of a true, detailed audit and how to do a forensic analysis for traffic drops. Our experts will also discuss the several different phases of SEO audits — including gathering data, analyzing that data, and presenting the findings/analysis to the client. This session will also include a list of the most effective SEO audit tools that attendees can begin to utilize immediately.",,Arsen Rabinovich,Rob Woods,Bill Hartzer,,,1,1,1,1,,,on,,,,,,,on,,,,,,,,,,,,,,,,1562874238,brett_tabke,,3,,,,1;;1;1;1;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,1549463923-brett_tabke;1549463947-brett_tabke;1551030359-brett_tabke;1557871033-seoaware;1562075364-brett_tabke;1562688749-gena_tabery;1562874238-brett_tabke;,pubcon90
216,1,0,9,Wednesday,October,Link Building,,Track B,,Elmer Boutin,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
224,1,0,8,Tuesday,October,PPC Paid Search,,Track F,,Navah Hopkins,default,,,,,,,,,,,,,,,on,,,,,,,on,,,,,,,,,,,,,,,,,,,3,,,,1;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,pubcon90
